Date,NVDA
20200901,13.782890319824219
20200902,14.306941986083984
20200903,12.979613304138184
20200904,12.58769416809082
20200908,11.880149841308594
20200909,12.679937362670898
20200910,12.277803421020508
20200911,12.13095760345459
20200914,12.836753845214844
20200915,12.95517635345459
20200916,12.479991912841797
20200917,12.429133415222168
20200918,12.1556396484375
20200921,12.482734680175781
20200922,12.602903366088867
20200923,12.09031867980957
20200924,12.313950538635254
20200925,12.838252067565918
20200928,12.999056816101074
20200929,13.18928050994873
20200930,13.493191719055176
20201001,13.576961517333984
20201002,13.026230812072754
20201005,13.604881286621094
20201006,13.698622703552246
20201007,13.925494194030762
20201008,13.800590515136719
20201009,13.724800109863281
20201012,14.186769485473633
20201013,14.208959579467773
20201014,14.056384086608887
20201015,13.931478500366211
20201016,13.77341365814209
20201019,13.460530281066895
20201020,13.607874870300293
20201021,13.487456321716309
20201022,13.32415771484375
20201023,13.552776336669922
20201026,13.105012893676758
20201027,13.359809875488281
20201028,12.592182159423828
20201029,12.988086700439453
20201030,12.499441146850586
20201102,12.546058654785156
20201103,12.983598709106445
20201104,13.756213188171387
20201105,14.120953559875488
20201106,14.521844863891602
20201109,13.59316349029541
20201110,12.734786033630371
20201111,13.381000518798828
20201112,13.41964340209961
20201113,13.260333061218262
20201116,13.477983474731445
20201117,13.385237693786621
20201118,13.391722679138184
20201119,13.403190612792969
20201120,13.051661491394043
20201123,13.103765487670898
20201124,12.922021865844727
20201125,13.19825553894043
20201127,13.22468376159668
20201130,13.364545822143555
20201201,13.353076934814453
20201202,13.507150650024414
20201203,13.363008499145508
20201204,13.524858474731445
20201207,13.573238372802734
20201208,13.317120552062988
20201209,12.898904800415039
20201210,12.940300941467285
20201211,12.981200218200684
20201214,13.275971412658691
20201215,13.327595710754395
20201216,13.209885597229004
20201217,13.308392524719238
20201218,13.239312171936035
20201221,13.299415588378906
20201222,13.245549201965332
20201223,12.97721004486084
20201224,12.961748123168945
20201228,12.868230819702148
20201229,12.911372184753418
20201230,13.113374710083008
20201231,13.022850036621094
20210104,13.081201553344727
20210105,13.371735572814941
20210106,12.5834321975708
20210107,13.311136245727539
20210108,13.244051933288574
20210111,13.587949752807617
20210112,13.45154094696045
20210113,13.49842357635498
20210114,13.167739868164062
20210115,12.82783031463623
20210119,12.993170738220215
20210120,13.332834243774414
20210121,13.833346366882324
20210122,13.678730010986328
20210125,13.619625091552734
20210126,13.40216064453125
20210127,12.885936737060547
20210128,13.018856048583984
20210129,12.957756996154785
20210201,13.204398155212402
20210202,13.52336311340332
20210203,13.497176170349121
20210204,13.630599975585938
20210205,13.557528495788574
20210208,14.403189659118652
20210209,14.22812271118164
20210210,14.727889060974121
20210211,15.213188171386719
20210212,14.924402236938477
20210216,15.292492866516113
20210217,14.869290351867676
20210218,14.79248046875
20210219,14.889739990234375
20210222,14.320394515991211
20210223,14.107170104980469
20210224,14.46329116821289
20210225,13.274724960327148
20210226,13.680724143981934
20210301,13.807662010192871
20210302,13.3732328414917
20210303,12.773213386535645
20210304,12.339784622192383
20210305,12.430809020996094
20210308,11.56470012664795
20210309,12.493724822998047
20210310,12.441834449768066
20210311,12.965972900390625
20210312,12.828763008117676
20210315,13.16330337524414
20210316,13.263091087341309
20210317,13.312987327575684
20210318,12.69554615020752
20210319,12.818536758422852
20210322,13.158315658569336
20210323,13.043060302734375
20210324,12.616215705871582
20210325,12.508691787719727
20210326,12.812047958374023
20210329,12.920818328857422
20210330,12.844482421875
20210331,13.319972038269043
20210401,13.782489776611328
20210405,13.957867622375488
20210406,13.832134246826172
20210407,14.11353588104248
20210408,14.286669731140137
20210409,14.369492530822754
20210412,15.176780700683594
20210413,15.646281242370605
20210414,15.244637489318848
20210415,16.103065490722656
20210416,15.878787994384766
20210419,15.329207420349121
20210420,15.139110565185547
20210421,15.327960014343262
20210422,14.818791389465332
20210423,15.23291015625
20210426,15.445209503173828
20210427,15.349164009094238
20210428,15.244386672973633
20210429,15.29228401184082
20210430,14.977702140808105
20210503,14.805317878723145
20210504,14.320847511291504
20210505,14.42786979675293
20210506,14.492233276367188
20210507,14.780868530273438
20210510,14.235528945922852
20210511,14.275940895080566
20210512,13.729353904724121
20210513,13.63630199432373
20210514,14.212825775146484
20210517,14.135489463806152
20210518,13.986058235168457
20210519,14.035951614379883
20210520,14.58154296875
20210521,14.959990501403809
20210524,15.578926086425781
20210525,15.61460018157959
20210526,15.666738510131836
20210527,15.455187797546387
20210528,16.210084915161133
20210601,16.230043411254883
20210602,16.742708206176758
20210603,16.93379783630371
20210604,17.541006088256836
20210607,17.58167266845703
20210608,17.420019149780273
20210609,17.32544708251953
20210610,17.39206886291504
20210611,17.79156494140625
20210614,17.984695434570312
20210615,17.7548828125
20210616,17.77659034729004
20210617,18.621990203857422
20210618,18.60352897644043
20210621,18.392425537109375
20210622,18.85105323791504
20210623,19.021238327026367
20210624,19.169206619262695
20210625,18.995031356811523
20210628,19.94723129272461
20210629,19.988903045654297
20210630,19.96470069885254
20210701,20.173803329467773
20210702,20.448280334472656
