Date,AMD,INTC,QCOM
20200901,92.18000030517578,45.58388900756836,111.50948333740234
20200902,90.22000122070312,46.89423370361328,113.1817626953125
20200903,82.54000091552734,45.22488784790039,106.9796371459961
20200904,82.01000213623047,44.9466667175293,106.55697631835938
20200908,78.69000244140625,43.89659881591797,100.8602066040039
20200909,81.91000366210938,44.53382110595703,104.76525115966797
20200910,78.9800033569336,43.94146728515625,103.31350708007812
20200911,76.33999633789062,44.22866439819336,104.21395874023438
20200914,77.9000015258789,44.34534454345703,104.25070190429688
20200915,78.93000030517578,44.87486267089844,107.1174545288086
20200916,76.66000366210938,45.20694351196289,105.26142120361328
20200917,76.55000305175781,45.16206741333008,105.55543518066406
20200918,74.93000030517578,44.7761344909668,101.70552825927734
20200921,77.94000244140625,44.623573303222656,102.83570861816406
20200922,77.69999694824219,44.82999801635742,104.58150482177734
20200923,74.7300033569336,43.81581497192383,101.59526062011719
20200924,75.81999969482422,44.1209716796875,103.08380889892578
20200925,78.05999755859375,44.82101821899414,105.20630645751953
20200928,79.4800033569336,46.15829086303711,108.85403442382812
20200929,81.7699966430664,45.94288635253906,107.8525161743164
20200930,81.98999786376953,46.472412109375,108.12818145751953
20201001,84.86000061035156,46.885257720947266,109.8188247680664
20201002,81.80000305175781,45.78134536743164,106.09756469726562
20201005,86.1500015258789,46.391632080078125,110.73766326904297
20201006,84.4800033569336,46.104434967041016,109.83721160888672
20201007,86.69000244140625,47.271183013916016,113.04393768310547
20201008,86.51000213623047,47.899436950683594,112.40994262695312
20201009,83.0999984741211,47.40581130981445,114.73458099365234
20201012,84.29000091552734,48.35715103149414,116.40685272216797
20201013,85.27999877929688,48.31228256225586,117.11436462402344
20201014,84.20999908447266,48.060977935791016,119.33794403076172
20201015,83.12999725341797,48.330223083496094,118.14344787597656
20201016,83.16999816894531,48.608455657958984,118.55693054199219
20201019,82.0,48.985408782958984,117.99642944335938
20201020,81.55999755859375,47.95328140258789,117.88618469238281
20201021,79.19999694824219,48.01611328125,118.11589050292969
20201022,79.41999816894531,48.3751106262207,117.95968627929688
20201023,81.95999908447266,43.25938034057617,118.41910552978516
20201026,82.2300033569336,41.93107604980469,115.95663452148438
20201027,78.87999725341797,40.9617805480957,115.69017791748047
20201028,76.4000015258789,39.71426010131836,111.71162414550781
20201029,78.0199966430664,39.58860397338867,116.17716979980469
20201030,75.29000091552734,39.741188049316406,113.3471450805664
20201102,74.69999694824219,39.902732849121094,113.90762329101562
20201103,76.58000183105469,40.25275802612305,115.26750183105469
20201104,81.3499984741211,41.015628814697266,118.50180053710938
20201105,83.0,41.29588317871094,133.607421875
20201106,85.87999725341797,41.03371047973633,133.2398681640625
20201109,83.12000274658203,41.22355651855469,131.03466796875
20201110,77.98999786376953,41.07891082763672,128.73760986328125
20201111,81.27999877929688,41.90156936645508,135.7023162841797
20201112,81.83999633789062,40.63593673706055,132.2291259765625
20201113,81.43000030517578,41.09698486328125,132.5507049560547
20201116,83.7300033569336,41.75692367553711,136.97030639648438
20201117,83.36000061035156,41.16027069091797,136.66712951660156
20201118,82.54000091552734,40.735382080078125,135.11428833007812
20201119,85.54000091552734,41.24163055419922,135.55532836914062
20201120,84.63999938964844,41.03371047973633,134.17706298828125
20201123,85.30999755859375,41.639408111572266,132.146484375
20201124,85.06999969482422,42.498226165771484,134.08517456054688
