date,BTC-USD
20210126,32569.849609375
20210127,30432.546875
20210128,33466.09765625
20210129,34316.38671875
20210201,33537.17578125
20210202,35510.2890625
20210203,37472.08984375
20210204,36926.06640625
20210205,38144.30859375
20210208,46196.46484375
20210209,46481.10546875
20210210,44918.18359375
20210211,47909.33203125
20210212,47504.8515625
20210215,47945.05859375
20210216,49199.87109375
20210217,52149.0078125
20210218,51679.796875
20210219,55888.1328125
20210222,54207.3203125
20210223,48824.42578125
20210224,49705.33203125
20210225,47093.8515625
20210226,46339.76171875
20210301,49631.2421875
20210302,48378.98828125
20210303,50538.2421875
20210304,48561.16796875
20210305,48927.3046875
20210308,52246.5234375
20210309,54824.1171875
20210310,56008.55078125
20210311,57805.12109375
20210312,57332.08984375
20210315,55907.19921875
20210316,56804.90234375
20210317,58870.89453125
20210318,57858.921875
20210319,58346.65234375
20210322,54529.14453125
20210323,54738.9453125
20210324,52774.265625
20210325,51704.16015625
20210326,55137.3125
20210329,57750.19921875
20210330,58917.69140625
20210331,58918.83203125
20210401,59095.80859375
20210402,59384.3125
20210405,59057.87890625
20210406,58192.359375
20210407,56048.9375
20210408,58323.953125
20210409,58245.00390625
20210412,59893.453125
20210413,63503.45703125
20210414,63109.6953125
20210415,63314.01171875
20210416,61572.7890625
20210419,55724.265625
20210420,56473.03125
20210421,53906.08984375
20210422,51762.2734375
20210423,51093.65234375
20210426,54021.75390625
20210427,55033.1171875
20210428,54824.703125
20210429,53555.109375
20210430,57750.17578125
20210503,57200.29296875
20210504,53333.5390625
20210505,57424.0078125
20210506,56396.515625
20210507,57356.40234375
20210510,55859.796875
20210511,56704.57421875
20210512,49150.53515625
20210513,49716.19140625
20210514,49880.53515625
20210517,43537.51171875
20210518,42909.40234375
20210519,37002.44140625
20210520,40782.73828125
20210521,37304.69140625
20210524,38705.98046875
20210525,38402.22265625
20210526,39294.19921875
20210527,38436.96875
20210528,35697.60546875
20210531,37332.85546875
20210601,36684.92578125
20210602,37575.1796875
20210603,39208.765625
20210604,36894.40625
20210607,33560.70703125
20210608,33472.6328125
20210609,37345.12109375
20210610,36702.59765625
20210611,37334.3984375
20210614,40218.4765625
20210615,40406.26953125
20210616,38347.0625
20210617,38053.50390625
20210618,35787.24609375
20210621,31676.693359375
20210622,32505.66015625
20210623,33723.02734375
20210624,34662.4375
20210625,31637.779296875
20210628,34434.3359375
20210629,35867.77734375
20210630,35040.8359375
20210701,33572.1171875
20210702,33897.046875
20210705,33746.00390625
20210706,34235.1953125
20210707,33855.328125
20210708,32877.37109375
20210709,33798.01171875
20210712,33155.84765625
20210713,32702.025390625
20210714,32822.34765625
20210715,31780.73046875
20210716,31421.5390625
20210719,30817.83203125
20210720,29807.34765625
20210721,32110.693359375
20210722,32313.10546875
20210723,33581.55078125
20210726,37337.53515625
20210727,39406.94140625
20210728,39995.90625
20210729,40008.421875
20210730,42235.546875
20210802,39201.9453125
20210803,38152.98046875
20210804,39747.50390625
20210805,40869.5546875
20210806,42816.5
20210809,46365.40234375
20210810,45585.03125
20210811,45593.63671875
20210812,44428.2890625
20210813,47793.3203125
20210816,46004.484375
20210817,44695.359375
20210818,44801.1875
20210819,46717.578125
20210820,49339.17578125
20210823,49546.1484375
20210824,47706.1171875
20210825,48960.7890625
20210826,46942.21875
20210827,49058.66796875
20210830,47054.984375
20210831,47166.6875
20210901,48847.02734375
20210902,49327.72265625
20210903,50025.375
20210906,52633.53515625
20210907,46811.12890625
20210908,46091.390625
20210909,46391.421875
20210910,44883.91015625
20210913,44963.07421875
20210914,47092.4921875
20210915,48176.34765625
20210916,47783.359375
20210917,47267.51953125
20210920,42843.80078125
20210921,40693.67578125
20210922,43574.5078125
20210923,44895.09765625
20210924,42839.75
20210927,42235.73046875
20210928,41034.54296875
20210929,41564.36328125
20210930,43790.89453125
20211001,48116.94140625
20211004,49112.90234375
20211005,51514.8125
20211006,55361.44921875
20211007,53805.984375
20211008,53967.84765625
20211011,57484.7890625
20211012,56041.05859375
20211013,57401.09765625
20211014,57321.5234375
20211015,61593.94921875
20211018,62026.078125
20211019,64261.9921875
20211020,65992.8359375
20211021,62210.171875
20211022,60692.265625
20211025,63039.82421875
20211026,60363.79296875
20211027,58482.38671875
20211028,60622.13671875
20211029,62227.96484375
20211101,61004.40625
20211102,63226.40234375
20211103,62970.046875
20211104,61452.23046875
20211105,61125.67578125
20211108,67566.828125
20211109,66971.828125
20211110,64995.23046875
20211111,64949.9609375
20211112,64155.94140625
20211115,63557.87109375
20211116,60161.24609375
20211117,60368.01171875
20211118,56942.13671875
20211119,58119.578125
20211122,56289.2890625
20211123,57569.07421875
20211124,56280.42578125
20211125,57274.6796875
20211126,53569.765625
20211129,57806.56640625
20211130,57005.42578125
20211201,57229.828125
20211202,56477.81640625
20211203,53598.24609375
20211206,50582.625
20211207,50700.0859375
20211208,50504.796875
20211209,47672.12109375
20211210,47243.3046875
