,Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA,MACD,MACD_Signal,OBV,RSI
0,230901,48.49033737182617,45.46489855448405,45.91250712285231,188.28829956054688,109.4499969482422,85.46248626708984,36.00776672363281,113.03157806396484,0.0603954,0.26,0.84,0.58,-0.03,-0.2,0.021,25802.02,1628.83,4515.77,14031.81,34837.71,0.911988834688664,0.36587816097897147,72.70699691772461,59.518602547519755
1,230905,48.5293197631836,45.596047973632814,46.08133374480917,188.52679443359372,110.77999877929688,85.42821502685547,36.10612106323242,114.16786193847656,0.0707884,-0.54,-1.58,-0.86,-0.3,-0.47,0.021,25778.03,1633.25,4496.83,14020.95,34641.97,0.9499409361364428,0.48269071601046576,121.2363166809082,59.27401675205192
2,230906,47.0467643737793,45.64222602844238,46.1436195918395,181.77880859375,109.27999877929688,85.4380111694336,36.37167739868164,112.3360824584961,0.0714377,-0.71,0.01,-0.18,-0.45,0.1,0.021,25748.1,1632.05,4465.48,13872.47,34443.19,0.8505834240289545,0.5562692576141635,74.1895523071289,53.81451163668313
3,230907,46.227012634277344,45.66864280700683,46.14899978812582,176.46189880371094,106.58999633789062,83.94525909423828,37.551944732666016,104.2253189086914,0.0713303,-0.4,-0.69,0.03,-0.2,0.02,0.021,26267.36,1646.92,4451.14,13748.83,34500.73,0.6976523555296552,0.5845458771972618,27.962543487548828,53.64791401082615
4,230908,45.5582160949707,45.65783869425456,46.11088471114808,177.07806396484375,106.08999633789062,83.9961929321289,37.38473510742188,103.97062683105467,0.0704661,0.12,-0.51,0.4,0.28,0.01,0.021,25906.35,1636.26,4457.49,13761.53,34576.59,0.5165331260467809,0.5709433269671657,-17.595672607421875,57.46988856533387
5,230911,45.16433334350586,45.60558280944824,46.04981712708711,178.25074768066406,105.31999969482422,84.15193176269531,37.955196380615234,108.02601623535156,0.0626058,0.66,-0.47,-0.54,-0.49,-0.33,0.021,25161.68,1551.36,4487.46,13917.89,34663.72,0.33732363646995367,0.5242193888677233,-62.760009765625,56.82919457452565
6,230912,44.85642623901367,45.54376322428386,45.97282416656624,175.20968627929688,105.30999755859376,82.71991729736328,38.22075271606445,108.95660400390624,0.0572627,-0.59,0.21,0.99,0.25,0.23,0.021,25852.36,1593.34,4461.9,13773.61,34645.99,0.1685105028038194,0.4530776116549426,-107.61643600463867,60.44941519028741
7,230913,45.47124481201172,45.509834671020506,45.94046420820789,173.1326141357422,107.70999908447266,83.54366302490234,38.07322311401367,110.33777618408205,0.0504346,0.03,-0.87,-0.22,0.25,-0.36,0.021,26216.13,1607.52,4467.44,13813.59,34575.53,0.08337450928399193,0.37913699118075245,-62.14519119262695,55.12131716942067
8,230914,45.56721496582031,45.553676478068034,45.91638385803432,174.65313720703125,106.62999725341795,85.37631225585938,38.033878326416016,111.70916748046876,0.0421189,0.84,0.49,0.86,0.82,0.02,0.021,26531.31,1626.97,4505.1,13926.05,34907.11,0.023378426272820718,0.3079852781991661,-16.577972412109375,54.87905242469092
9,230915,43.88672256469727,45.533304850260414,45.78543796814161,173.9276580810547,101.48999786376952,83.42122650146484,37.256874084472656,110.82756042480467,0.0323123,-1.21,0.21,0.25,-0.33,0.5,0.021,26620.02,1642.53,4450.32,13708.33,34618.24,-0.15795015086715836,0.21479819238590123,-60.46469497680664,51.15475785476773
10,230918,43.95270156860352,45.509634780883786,45.667196910106895,176.86936950683594,102.37000274658205,83.25668334960938,37.36506652832031,110.44554138183594,-0.00522475,-0.04,-0.82,-0.19,0.2,-0.05,0.021,26767.54,1637.09,4453.53,13710.24,34624.3,-0.29295372013261556,0.11324780988219788,-16.51199722290039,51.73720101871768
11,230919,43.5068359375,45.4465451558431,45.52781878284193,177.96255493164062,101.61000061035156,83.1783218383789,35.742210388183594,108.45702362060548,-0.0192998,-0.27,-0.11,0.0,0.32,0.31,0.021,27199.35,1642.82,4443.95,13678.19,34517.73,-0.43095456778744534,0.004407334348269232,-60.01883316040039,50.61003584690091
12,230920,42.22622680664063,45.365858713785805,45.31481284889347,174.40469360351562,100.33999633789062,81.79661560058594,34.11935043334961,106.98767852783205,-0.0340202,-0.95,-0.05,0.26,0.27,0.49,0.021,27119.41,1622.0,4402.2,13469.13,34440.88,-0.6363205806022378,-0.1237382486418322,-102.24505996704102,35.25489400199804
13,230921,41.00459289550781,45.314757664998375,45.03673414222342,172.8543243408203,96.11000061035156,79.60931396484375,34.08000946044922,105.75342559814452,-0.0493918,-1.69,0.34,0.38,0.56,0.13,0.021,26567.29,1584.04,4330.0,13223.98,34070.42,-0.8874203353083772,-0.2764746659751412,-143.2496566772461,35.42493478256186
14,230922,41.597412109375,45.28894831339518,44.814842398168686,173.70901489257812,96.1999969482422,81.6498794555664,33.61774444580078,105.47916412353516,-0.0654205,-0.25,-0.09,-0.51,0.18,-0.19,0.021,26582.63,1593.22,4320.06,13211.81,33963.84,-1.0267477427904126,-0.42652928133819545,-101.6522445678711,31.765990686183883
15,230925,42.209228515625,45.33461329142253,44.64673827671426,174.9910430908203,97.37999725341795,82.12357330322266,33.72593307495117,108.1729507446289,-0.117524,0.39,-0.06,0.33,0.58,-0.46,0.021,26296.86,1587.9,4337.44,13271.32,34006.88,-1.0754003920778032,-0.556303503486117,-59.44301223754883,34.22904689222109
