Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA
230919,43.5068359375,45.4465451558431,45.52781878284193,177.96255493164062,101.61000061035156,83.1783218383789,35.742210388183594,108.45702362060547,-0.0192998,-0.27,-0.11,0.0,0.32,0.31,0.021,27199.35,1642.82,4443.95,13678.19,34517.73
230920,42.226226806640625,45.365858713785805,45.31481284889347,174.40469360351562,100.33999633789062,81.79661560058594,34.11935043334961,106.98767852783203,-0.0340202,-0.95,-0.05,0.26,0.27,0.49,0.021,27119.41,1622.0,4402.2,13469.13,34440.88
230921,41.00459289550781,45.314757664998375,45.03673414222342,172.8543243408203,96.11000061035156,79.60931396484375,34.08000946044922,105.75342559814453,-0.0493918,-1.69,0.34,0.38,0.56,0.13,0.021,26567.29,1584.04,4330.0,13223.98,34070.42
230922,41.597412109375,45.28894831339518,44.814842398168686,173.70901489257812,96.19999694824219,81.6498794555664,33.61774444580078,105.47916412353516,-0.0654205,-0.25,-0.09,-0.51,0.18,-0.19,0.021,26582.63,1593.22,4320.06,13211.81,33963.84
230925,42.209228515625,45.33461329142253,44.64673827671426,174.9910430908203,97.37999725341797,82.12357330322266,33.72593307495117,108.1729507446289,-0.117524,0.39,-0.06,0.33,0.58,-0.46,0.021,26296.86,1587.9,4337.44,13271.32,34006.88
230926,41.89832305908203,45.27335205078125,44.46942116589928,170.8965301513672,95.95999908447266,80.38043975830078,33.273502349853516,107.47746276855469,-0.136268,-1.46,0.36,-0.51,-0.34,-0.07,0.021,26200.13,1592.46,4273.53,13063.61,33618.88
230927,42.45515441894531,45.22442092895508,44.33946847254741,169.3759765625,98.06999969482422,80.4415054321289,34.040672302246094,106.95829772949219,-0.155714,0.13,0.78,0.1,0.19,-0.28,0.021,26351.82,1596.96,4274.51,13092.85,33550.27
230928,43.075965881347656,45.211310958862306,44.25795217634098,169.63436889648438,102.76000213623047,81.93743896484375,34.601287841796875,108.82926177978516,-0.175869,0.65,0.19,0.04,0.43,-0.03,0.021,27035.82,1653.08,4299.7,13201.28,33666.34
230929,43.48584747314453,45.21659507751465,44.20813872357364,170.1511688232422,102.81999969482422,81.79759216308594,34.965206146240234,108.79006958007812,-0.196742,-0.27,-0.02,0.31,-0.19,-0.15,0.021,26900.3,1666.74,4288.05,13219.32,33507.5
231002,44.768455505371094,45.26613235473633,44.24428819336703,172.67544555664062,103.2699966430664,82.22796630859375,34.87668228149414,108.82926177978516,-0.261646,-0.14,-1.28,-1.05,0.87,-0.52,0.021,27517.12,1663.11,4288.39,13307.77,33433.35
