NVDA,AMD,RSI,RF,CBBTCUSD,DJIA,MACD_Signal,ADS_Index
-1.00560970560398,-1.3402663569929516,0.0473436858278894,-0.2865635382699905,-1.7206469985667268,-1.217874613643671,-0.5956819135155308,0.8955687713966811
-1.0043287628268052,-1.293246448350529,0.0307530969147099,-0.2865635382699905,-1.7222573887499588,-1.3026228640844144,-0.553304954198426,0.93850204698351
-1.0530460829826078,-1.346276347495634,-0.3395577799307512,-0.2865635382699905,-1.724266516644254,-1.388687323176123,-0.5266123246729274,0.9411842923254256
-1.0799836150844533,-1.4413767196075398,-0.3508573822051792,-0.2865635382699905,-1.6894098594310352,-1.3637746107496362,-0.5163542112475628,0.9407406250688084
-1.1019605966193753,-1.459053352655908,-0.0916182861028166,-0.2865635382699905,-1.7136435801500278,-1.3309300093476015,-0.5212889195731653,0.9371706321156534
-1.1149036596426911,-1.4862752488718285,-0.1350758386422347,-0.2865635382699905,-1.7636314608397932,-1.293205910742807,-0.5382393256566846,0.9046998896837134
-1.125021703534705,-1.4866288570555195,0.1104792650728318,-0.2865635382699905,-1.7172677971568098,-1.3008823513288634,-0.5640479667065403,0.8826276502159962
-1.1048185857986708,-1.4017809644785495,-0.250918434019665,-0.2865635382699905,-1.6928488043700507,-1.33138895052195,-0.590871956896678,0.8544209053844338
-1.1016647437172284,-1.439962556596789,-0.2673513895786127,-0.2865635382699905,-1.6716915397618346,-1.187826955624933,-0.6166841950189949,0.8200689146409149
-1.156886690794082,-1.6216783227560934,-0.519965728334686,-0.2865635382699905,-1.6657366538445972,-1.3128970849026382,-0.6504903815471166,0.7795580457512972
-1.1547186907560636,-1.5905672759675946,-0.4804595327007275,-0.2865635382699905,-1.6558339960775943,-1.3102733268681468,-0.6873305860659109,0.6244932413284568
-1.169369928205079,-1.617435833723839,-0.556913881071381,-0.2865635382699905,-1.626847644055024,-1.3564142334251617,-0.726815474922919,0.5663494906743246
-1.2114513680548529,-1.6623346327121429,-1.5984330582175676,-0.2865635382699905,-1.6322138212641766,-1.3896874685655096,-0.7733038280684631,0.5055398120494465
