Feature,Importance
CBBTCUSD,0.3391360110889262
DJIA,0.27621696794007466
AMD,0.16064095401151054
MACD_Signal,0.09939769155150183
ADS_Index,0.04826249075971617
RF,0.04204089110209595
RSI,0.03430499354617471
