Date,MACD,MACD_Signal,OBV,RSI
230901,0.0,0.0,0.0,
230905,0.003110010739405311,0.0006220021478810623,48.529319763183594,
230906,-0.112755035361495,-0.02205340535399415,1.4825515747070312,
230907,-0.26764114092810587,-0.0711709524688165,-44.74446105957031,
230908,-0.4392919032292255,-0.14479514262089832,-90.30267715454102,
230911,-0.6001904851362951,-0.23587421112397772,-135.46701431274414,
230912,-0.7439735444559687,-0.33749407779037593,-180.3234405517578,
230913,-0.7991004022654806,-0.4298153426853969,-134.8521957397461,
230914,-0.8255283600158734,-0.5089579461514923,-89.28497695922852,
230915,-0.9708829725066579,-0.6013429514225255,-133.17169952392578,
230918,-1.0684376199342651,-0.6947618851248734,-89.21900177001953,
230919,-1.1682607208522953,-0.7894616522703578,-132.72583770751953,
230920,-1.3353130443084567,-0.8986319306779778,-174.95206451416016,
230921,-1.5484295294507007,-1.0285914504325224,-215.95665740966797,
230922,-1.6504647924365514,-1.1529661188333282,-174.35924530029297,
230925,-1.6627923672979819,-1.254931368526259,-132.15001678466797,
230926,-1.678303097784891,-1.3396057143779856,-174.04833984375,
230927,-1.6269098226184866,-1.3970665360260859,-131.5931854248047,
230928,-1.5185807317110616,-1.421369375163081,-88.51721954345703,
230929,-1.383704946283224,-1.4138364893871096,-45.031375885009766,
231002,-1.159947702717247,-1.363058732053137,-0.2629203796386719,36.218249517615845
231003,-1.0723020496626106,-1.3049073955750319,-43.766754150390625,33.116692063464185
231004,-0.9496252734996347,-1.2338509711599526,0.2609291076660156,35.24286532842362
231005,-0.7910923891826442,-1.145299254764491,44.9354133605957,41.77241985161038
231006,-0.5722209632351394,-1.0306835964586205,90.68357467651367,48.36798755214774
231009,-0.433216625775124,-0.9111902023219213,45.42427062988281,48.96860292410377
231010,-0.27750516492967847,-0.7844531948434728,91.20841979980469,52.11950745193148
231011,-0.07196068847670745,-0.6419546935701198,138.00026321411133,56.316063350106184
231012,0.10098315862074969,-0.4933671231319459,184.93106079101562,54.91580082047144
231013,0.11698371875288416,-0.3712969547549799,139.48381423950195,49.63047038945718
231016,0.17874742414316813,-0.26128807897535034,185.56487655639648,57.22467733844692
231017,0.053084324958405205,-0.19841359818859924,141.64016342163086,49.91901096222396
231018,-0.184895938951243,-0.19571006634112803,99.45692825317383,46.436647889372125
231019,-0.3768163426416322,-0.2319313216012289,57.36865997314453,49.603265759613606
231020,-0.5798274077478851,-0.30151053883056017,15.994178771972656,51.09571072260587
231023,-0.6056341213974648,-0.36233525534394107,58.956180572509766,53.81732819147222
231024,-0.5640848111190095,-0.4026851664989548,102.60597229003906,54.01280109423704
231025,-0.6753490866382919,-0.45721795052682224,60.83961486816406,49.66201006407681
