,Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA,MACD,MACD_Signal,OBV,RSI
0,230901,48.48699569702149,45.46176516215007,45.90934254678257,188.28829956054688,109.4499969482422,85.46249389648438,36.00777053833008,112.44337463378906,0.0603954,0.26,0.84,0.58,-0.03,-0.2,0.021,25802.02,1628.83,4515.77,14031.81,34837.71,0.9119259867628386,0.36585306242302273,72.70198059082031,59.51860565250348
1,230905,48.52597427368164,45.59290555318197,46.07815749690509,188.5268096923828,110.77999877929688,85.42822265625,36.10611724853516,113.5737533569336,0.0707884,-0.54,-1.58,-0.86,-0.3,-0.47,0.021,25778.03,1633.25,4496.83,14020.95,34641.97,0.949875347165694,0.482657519371557,121.22795486450195,59.27401031977769
2,230906,47.04352569580078,45.63908030192057,46.14043907007918,181.77880859375,109.27999877929688,85.43800354003906,36.371681213378906,111.75150299072266,0.0714377,-0.71,0.01,-0.18,-0.45,0.1,0.021,25748.1,1632.05,4465.48,13872.47,34443.19,0.8505246512395814,0.556230945745162,74.18443298339844,53.81451080423954
3,230907,46.22382736206055,45.66549542744954,46.14581895988444,176.46189880371094,106.58999633789062,83.94525909423828,37.55194091796875,103.68294525146484,0.0713303,-0.4,-0.69,0.03,-0.2,0.02,0.021,26267.36,1646.92,4451.14,13748.83,34500.73,0.6976041574237257,0.5845055880808747,27.960609436035156,53.64792057694584
4,230908,45.55507659912109,45.65469207763672,46.10770654951261,177.07806396484375,106.08999633789062,83.9961929321289,37.38473510742188,103.42958068847656,0.0704661,0.12,-0.51,0.4,0.28,0.01,0.021,25906.35,1636.26,4457.49,13761.53,34576.59,0.5164974138914218,0.5709039532429842,-17.594467163085938,57.46988695188988
5,230911,45.161224365234375,45.60243975321452,46.04664318278499,178.25074768066406,105.31999969482422,84.15193939208984,37.955196380615234,107.46387481689452,0.0626058,0.66,-0.47,-0.54,-0.49,-0.33,0.021,25161.68,1551.36,4487.46,13917.89,34663.72,0.3373002438749708,0.5241832113693815,-62.75569152832031,56.82919152037427
6,230912,44.85333633422852,45.54062436421712,45.96965564416844,175.20968627929688,105.30999755859376,82.71992492675781,38.22075653076172,108.3896026611328,0.0572627,-0.59,0.21,0.99,0.25,0.23,0.021,25852.36,1593.34,4461.9,13773.61,34645.99,0.16849885470634263,0.45304634003677374,-107.60902786254883,60.44941456429472
7,230913,45.468109130859375,45.50669822692871,45.937298050709614,173.1326141357422,107.70999908447266,83.54367065429688,38.07322692871094,109.76360321044922,0.0504346,0.03,-0.87,-0.22,0.25,-0.36,0.021,26216.13,1607.52,4467.44,13813.59,34575.53,0.0833688480880781,0.3791108416470346,-62.14091491699219,55.12132217900007
8,230914,45.56407928466797,45.55053685506185,45.91321942064242,174.65313720703125,106.62999725341795,85.37629699707031,38.03388214111328,111.12784576416016,0.0421189,0.84,0.49,0.86,0.82,0.02,0.021,26531.31,1626.97,4505.1,13926.05,34907.11,0.023376911571673986,0.3079640556319625,-16.57683563232422,54.879050837479696
9,230915,43.883697509765625,45.53016662597656,45.7822825231665,173.92764282226562,101.48999786376952,83.42123413085938,37.256874084472656,110.2508316040039,0.0323123,-1.21,0.21,0.25,-0.33,0.5,0.021,26620.02,1642.53,4450.32,13708.33,34618.24,-0.15793927043846878,0.21478339041787625,-60.460533142089844,51.154753372049534
