Date,NVDA
230901,48.49033737182617
230905,48.529319763183594
230906,47.04676818847656
230907,46.22700881958008
230908,45.5582160949707
230911,45.16433334350586
230912,44.85642623901367
230913,45.47124481201172
230914,45.56721878051758
230915,43.886722564697266
230918,43.95269775390625
230919,43.5068359375
230920,42.226226806640625
230921,41.00459671020508
230922,41.597412109375
230925,42.209232330322266
230926,41.89832305908203
230927,42.45515441894531
230928,43.075965881347656
230929,43.485843658447266
231002,44.768455505371094
231003,43.50383377075195
231004,44.027679443359375
231005,44.67448425292969
231006,45.7481575012207
231009,45.25930404663086
231010,45.784149169921875
231011,46.791839599609375
231012,46.93080139160156
231013,45.44724655151367
231016,46.08106231689453
231017,43.92470932006836
231018,42.18323516845703
231019,42.0882682800293
231020,41.374481201171875
231023,42.962005615234375
231024,43.6497917175293
231025,41.766357421875
231026,40.313804626464844
231027,40.48775100708008
231030,41.1485481262207
231031,40.76766586303711
231101,42.31220245361328
231102,43.49283981323242
231103,44.991390228271484
231106,45.737159729003906
231107,45.941104888916016
231108,46.559913635253906
231109,46.9358024597168
231110,48.320377349853516
231113,48.60529327392578
231114,49.6409797668457
231115,48.87321090698242
231116,49.46503829956055
231117,49.2830924987793
231120,50.39375305175781
231121,49.92889404296875
231122,48.701263427734375
231124,47.76155090332031
231127,48.22740936279297
231128,47.80653381347656
231129,48.12543869018555
231130,46.755855560302734
231201,46.7508544921875
231204,45.49623107910156
231205,46.556007385253906
231206,45.49323654174805
231207,46.586002349853516
231208,47.49580764770508
231211,46.61699676513672
231212,47.64677810668945
231213,48.07768630981445
231214,48.339622497558594
231215,48.87950897216797
231218,50.066253662109375
231219,49.59335708618164
231220,48.10067367553711
231221,48.9794921875
231222,48.81952667236328
231226,49.26842498779297
231227,49.406394958496094
231228,49.511375427246094
231229,49.511375427246094
240102,48.15766525268555
240103,47.55879592895508
240104,47.98770523071289
240105,49.086463928222656
240108,52.241790771484375
240109,53.12860107421875
240110,54.338340759277344
240111,54.810237884521484
240112,54.69825744628906
240116,56.369903564453125
240117,56.04097366333008
240118,57.09474563598633
240119,59.47823715209961
240122,59.641204833984375
240123,59.86015701293945
240124,61.34883499145508
240125,61.60377883911133
240126,61.017906188964844
240129,62.45159912109375
240130,62.760528564453125
240131,61.513797760009766
240201,63.01347732543945
240202,66.14580535888672
240205,69.31713104248047
240206,68.20836639404297
240207,70.08395385742188
240208,69.62605285644531
240209,72.11752319335938
240212,72.23249816894531
240213,72.11251831054688
240214,73.88414764404297
240215,72.64241027832031
240216,72.59741973876953
240220,69.43709564208984
240221,67.45752716064453
240222,78.52114868164062
240223,78.80008697509766
240226,79.07503509521484
240227,78.68411254882812
240228,77.6463394165039
240229,79.09502410888672
240301,82.26134490966797
240304,85.21871185302734
240305,85.9495849609375
240306,88.68512725830078
240307,92.65345764160156
240308,87.5133285522461
240311,85.7596206665039
240312,91.89759063720703
240313,90.87276458740234
240314,87.92925262451172
240315,87.822265625
240318,88.44017028808594
240319,89.38301849365234
240320,90.35684967041016
240321,91.41967010498047
240322,94.273193359375
240325,94.98606872558594
240326,92.54547882080078
240327,90.23486328125
240328,90.34085083007812
240401,90.34784698486328
240402,89.43700408935547
240403,88.94908142089844
240404,85.89059448242188
240405,87.99324798583984
240408,87.11839294433594
240409,85.33968353271484
240410,87.02440643310547
240411,90.60079956054688
240412,88.17121124267578
240415,85.98657989501953
240416,87.40034484863281
240417,84.02091217041016
240418,84.65679931640625
240419,76.18722534179688
240422,79.50466918945312
240423,82.4091796875
240424,79.66364288330078
240425,82.61814880371094
240426,87.72028350830078
240429,87.7422866821289
240430,86.38751220703125
240501,83.0270767211914
240502,85.8026123046875
240503,88.77411651611328
240506,92.12454986572266
240507,90.538818359375
240508,90.39684295654297
240509,88.73212432861328
240510,89.86292266845703
240513,90.38385009765625
240514,91.34068298339844
240515,94.61412811279297
240516,94.34317779541016
240517,92.46348571777344
240520,94.76411437988281
240521,95.37001037597656
240522,94.93408203125
240523,103.78160095214844
240524,106.4511489868164
240528,113.88190460205078
240529,114.80574798583984
240530,110.4814682006836
240531,109.6146240234375
240603,114.98072052001953
240604,116.41747283935547
240605,122.41947174072266
240606,120.97771453857422
240607,120.86773681640625
240610,121.76958465576172
240611,120.899658203125
240612,125.18928527832031
240613,129.59890747070312
240614,131.8687286376953
240617,130.9687957763672
240618,135.5684051513672
240620,130.76881408691406
240621,126.55917358398438
240624,118.09989929199219
240625,126.07920837402344
240626,126.38919067382812
240627,123.9793930053711
240628,123.52943420410156
240701,124.28936767578125
240702,122.65950775146484
240703,128.26902770996094
240705,125.8192367553711
240708,128.18902587890625
240709,131.3687744140625
240710,134.89846801757812
240711,127.38910675048828
240712,129.2289581298828
240715,128.42901611328125
240716,126.34918975830078
240717,117.97990417480469
240718,121.07963562011719
240719,117.91991424560547
240722,123.52943420410156
240723,122.57951354980469
240724,114.24022674560547
240725,112.27039337158203
240726,113.05032348632812
240729,111.58045196533203
240730,103.72113037109375
240731,117.0099868774414
240801,109.2006607055664
240802,107.26081848144531
240805,100.44140625
240806,104.24108123779297
240807,98.90154266357422
240808,104.96102142333984
240809,104.74104309082031
240812,109.01067352294922
240813,116.13006591796875
240814,118.06990051269531
240815,122.84949493408203
240816,124.56934356689453
240819,129.98887634277344
240820,127.2391128540039
240821,128.489013671875
240822,123.72941589355469
240823,129.3589324951172
240826,126.44918060302734
240827,128.28903198242188
240828,125.59925842285156
240829,117.57994079589844
240830,119.35979461669922
