,NVDA,AMD,INTC,QCOM,AAPL,AVGO
count,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0
mean,31.725554052365904,100.64815152442841,41.40178289364712,126.97301731077125,146.5957980862671,63.059623841735736
std,29.65482800564248,35.210766669448724,9.876650390401496,30.59847063756031,37.38047111355692,36.24725428809293
min,4.892764091491699,38.709999084472656,18.989999771118164,55.240360260009766,54.509761810302734,14.611583709716797
25%,13.386860847473145,78.09749794006348,32.604841232299805,110.42494201660156,124.71605110168457,41.73891544342041
50%,19.866262435913086,93.58499908447266,43.342885971069336,124.75092315673828,148.0252456665039,51.29193687438965
75%,41.83650493621826,118.26249885559082,49.48944282531738,141.93920135498047,172.45540237426758,81.75992393493652
max,135.5684051513672,211.3800048828125,62.08334732055664,225.92247009277344,234.29075622558594,181.71044921875
