,NVDA_Log_Return,AAPL_Log_Return,AMD_Log_Return,AVGO_Log_Return,INTC_Log_Return,QCOM_Log_Return,SP500_Log_Return,NASDAQCOM_Log_Return,DJIA_Log_Return,SMA,EMA,MACD,MACD_Signal,RSI,OBV
25,-0.4577654016764064,0.5425474785509146,-0.12416076543265978,0.36993226393833784,-0.05000040459439606,0.2841311491384867,0.6848166500693899,0.27338637619567524,0.7700592521867622,-0.7695902414277253,-0.43618314706589717,0.24797139883257321,0.3371767573436174,0.15834828102722434,-0.457548888128877
26,0.25236528922656637,-0.2936392920067945,0.5944904099232711,0.013985481741539366,0.3771343705950983,0.12339504838994723,0.545825095954037,0.4452882815090157,0.4885455072538209,-0.8082634092768818,-0.31733751856519066,0.2813911377073366,0.3607329738991375,0.7894429115996051,0.41131363213780187
27,0.5788866276394513,0.504006662314862,-0.2557715359903002,0.5996461296839137,0.4411102009673616,-0.5349353997046441,0.42966054851415847,0.5643148415751038,0.18092740213629255,-0.9329812519582863,-0.08327313780197731,0.38075936851675135,0.4133251697086309,0.9797162631632494,0.3584240242247281
28,-0.020691148685086157,0.3033927179376074,0.10886056840571996,1.2058511007339512,0.02775836470451547,0.05861318275935094,-0.9161226221918787,-0.6592579617102814,-0.8797855656547612,-0.978613895011213,-0.08807710690890085,0.3066801611321966,0.4280328396419041,-0.31504242671215793,0.31176062752025324
29,-1.1393855785348843,-0.7899651936415686,-1.2009081868950706,-1.0321030896355603,-0.6780092523449242,-1.1753522774561618,-0.7586471800367318,-1.216849681282123,0.06458051675552438,-1.1886657942722045,-0.5056069128419426,-0.00999549269886464,0.3299413679288797,-1.274171059924997,-0.35129896310819897
33,-0.18709900876316574,-0.20882064337121883,0.035917952670060385,-0.9131691802372455,0.08735482416537237,0.04321383370495033,-1.203534494880051,-0.9693200758266133,-1.2279617642305187,-1.2285010847719038,-1.3376779732097677,-0.4500329004607605,-0.19745481206395726,0.8349617987656328,-0.41302073152895824
34,-0.6605895525521231,-1.1072501446305338,-0.2334939223988161,-0.7121329699653512,-0.5960660511437028,-1.1173235273978945,-1.7324418129829906,-1.4989978839622102,-1.398703526071133,-1.236327820554524,-1.4813271094717886,-0.4887269306263938,-0.31029291353416516,0.37665625278563497,-0.46937082359628757
35,1.0852213179023766,-0.005881783121090401,-0.6382519350984551,0.27759577095604615,-0.9014196062473423,-0.06172028066959072,-0.3320041118033986,0.15682486173998592,-0.9733759462647541,-0.9696083778154024,-1.0223549239975391,-0.09251671715135314,-0.2813234526408923,0.6574086680834902,0.43417584729916286
36,0.39114282671565087,0.12525287929204224,0.512960948381419,0.7128736028535669,0.7303332034961567,0.2162550562306321,0.806699890409151,0.7633309720002521,0.8182488944713884,-0.8351002429121348,-0.8229284342674005,0.06317666239475686,-0.209555964491391,0.0483778977942196,0.37337909815325276
41,-0.4117301825421615,0.1447569454495541,0.760422082228408,-0.09088445424200221,0.755575820503012,0.3896553158040255,0.7065100002780568,0.35439285219075956,0.4522125771662233,-1.0476184462128193,-1.375115327796437,-0.14602987365733772,-0.34387685492861986,-1.3752163404583224,-0.39657766672370187
